split_type_de_portion_Biathlon_Oberhof (GER)_Men 10km Sprint_2023-2024,"[[], [], [], []]"
split_type_de_portion_Biathlon_Oberhof (GER)_Men 10km Sprint_2022-2023,"[[""D\u00e9part - 0.6km  ||  Shooting 1 - 3.9km  ||  Shooting 2 - 7.3km""], [""0.6km - 1.7km (PT)  ||  3.9km - 5.0km (PT)  ||  7.3km - 8.4km (PT)""], [""1.9km - 2.5km  ||  5.2km - 5.8km  ||  8.6km - 9.2km""], [""3.0km (PT) - \u2192 Shooting 1  ||  6.3km (PT) - \u2192 Shooting 2  ||  9.7km (PT) - Finish""]]"
split_type_de_portion_Biathlon_Oestersund (SWE)_Men 10km Sprint_2023-2024,"[[""D\u00e9part - 1.7km (PT)  ||  Shooting 1 - 5.0km (PT)  ||  Shooting 2 - 8.4km (PT)""], [""1.7km (PT) - 2.1km  ||  5.0km (PT) - 5.4km  ||  8.4km (PT) - 8.8km""], [""2.1km - 2.5km (PT)  ||  5.4km - 5.8km (PT)  ||  8.8km - 9.2km (PT)""], [""2.5km (PT) - 2.9km  ||  5.8km (PT) - 6.2km  ||  9.2km (PT) - 9.6km""]]"
split_type_de_portion_Biathlon_Lenzerheide (SUI)_Women 7.5km Sprint_2023-2024,"[[""0.6km (PT) - 0.8km  ||  3.1km (PT) - 3.3km  ||  5.6km (PT) - 5.8km"", ""1.5km (PT) - 1.7km  ||  4.0km (PT) - 4.2km  ||  6.5km (PT) - 6.7km""], [""0.8km - 1.5km (PT)  ||  3.3km - 4.0km (PT)  ||  5.8km - 6.5km (PT)"", ""1.7km - 2.0km (PT)  ||  4.2km - 4.5km (PT)  ||  6.7km - 7.0km (PT)""], [], [""2.0km (PT) - \u2192 Shooting 1  ||  4.5km (PT) - \u2192 Shooting 2  ||  7.0km (PT) - Finish""]]"
split_type_de_portion_Biathlon_Lenzerheide (SUI)_Men 10km Sprint_2023-2024,"[[""0.6km (PT) - 0.8km  ||  3.9km (PT) - 4.1km  ||  7.3km (PT) - 7.5km"", ""1.5km (PT) - 1.7km  ||  4.8km (PT) - 5.0km  ||  8.2km (PT) - 8.4km""], [""0.8km - 1.5km (PT)  ||  4.1km - 4.8km (PT)  ||  7.5km - 8.2km (PT)""], [""2.8km (PT) - \u2192 Shooting 1  ||  6.1km (PT) - \u2192 Shooting 2  ||  9.5km (PT) - Finish""], [""D\u00e9part - 0.6km (PT)  ||  Shooting 1 - 3.9km (PT)  ||  Shooting 2 - 7.3km (PT)"", ""1.7km - 2.8km (PT)  ||  5.0km - 6.1km (PT)  ||  8.4km - 9.5km (PT)""]]"
